,surgery,Age,Hospital Number,rectal temperature,pulse,respiratory rate,temperature of extremities,peripheral pulse,mucous membranes,capillary refill time,pain,peristalsis,abdominal distension,nasogastric tube,nasogastric reflux,nasogastric reflux PH,rectal examination,abdomen,packed cell volume,total protein,abdominocentesis appearance,abdomcentesis total protein,outcome,surgical lesion,type of lesion,type of lesion.1,type of lesion.2,cp_data
14,1.0,1.0,527563.0,37.8,52.0,24.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,2.0,3.0,5.7,2.0,5.0,48.0,6.6,1.0,3.7,2.0,1.0,5400.0,0.0,0.0,2.0
15,1.0,1.0,530360.0,38.2,64.0,24.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0,4.0,4.0,45.0,7.5,1.0,2.0,2.0,1.0,3205.0,0.0,0.0,1.0
16,1.0,9.0,5287179.0,38.1,136.0,48.0,3.0,3.0,3.0,1.0,5.0,1.0,3.0,2.0,2.0,4.4,2.0,,33.0,4.9,2.0,2.9,2.0,1.0,2205.0,0.0,0.0,1.0
17,2.0,1.0,528996.0,38.6,52.0,20.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,5.0,1.0,3.0,36.0,6.6,1.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0
18,1.0,1.0,530239.0,38.4,84.0,30.0,3.0,1.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0,6.5,4.0,4.0,47.0,7.5,3.0,6.5,2.0,1.0,2300.0,0.0,0.0,2.0
19,1.0,1.0,527365.0,38.4,80.0,30.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.3,4.0,5.0,32.0,6.1,3.0,4.3,1.0,1.0,7209.0,0.0,0.0,1.0
20,1.0,1.0,5299603.0,38.3,60.0,16.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,30.0,6.0,1.0,3.0,1.0,1.0,31110.0,0.0,0.0,2.0
21,2.0,1.0,529628.0,38.5,60.0,20.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,2.3,2.0,3.0,63.0,7.5,2.0,2.3,3.0,2.0,300.0,0.0,0.0,1.0
22,1.0,1.0,529893.0,38.0,86.0,24.0,4.0,3.0,4.0,1.0,2.0,4.0,4.0,1.0,1.0,10.1,4.0,5.0,45.0,5.5,1.0,10.1,2.0,1.0,3111.0,0.0,0.0,1.0
23,2.0,1.0,528931.0,38.4,54.0,24.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,8.0,3.0,2.0,49.0,7.2,1.0,8.0,1.0,2.0,3111.0,0.0,0.0,1.0
24,1.0,1.0,530526.0,38.3,72.0,30.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.9,3.0,5.0,43.0,7.0,2.0,3.9,1.0,1.0,3113.0,0.0,0.0,1.0
25,1.0,1.0,528469.0,38.1,52.0,24.0,1.0,1.0,5.0,1.0,4.0,3.0,1.0,2.0,3.0,7.0,1.0,,54.0,7.5,2.0,2.6,2.0,1.0,2206.0,0.0,0.0,1.0
26,1.0,1.0,535043.0,39.3,100.0,51.0,4.0,4.0,6.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,,4.0,66.0,13.0,3.0,2.0,3.0,1.0,2113.0,0.0,0.0,2.0
27,2.0,1.0,534719.0,37.5,52.0,12.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,5.0,36.0,61.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0
28,1.0,1.0,530478.0,38.3,44.0,21.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,4.4,1.0,5.0,44.0,6.5,2.0,4.4,1.0,1.0,2209.0,0.0,0.0,1.0
29,1.0,1.0,534787.0,38.0,36.0,16.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,,37.0,75.0,2.0,1.0,3.0,2.0,3111.0,0.0,0.0,2.0
30,1.0,1.0,528890.0,38.9,80.0,44.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,7.0,3.0,1.0,54.0,6.5,3.0,7.0,2.0,1.0,7111.0,0.0,0.0,2.0
31,1.0,1.0,530612.0,36.5,100.0,24.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.4,4.0,4.0,50.0,6.0,3.0,3.4,1.0,1.0,2208.0,0.0,0.0,1.0
32,2.0,1.0,5278332.0,39.0,84.0,12.0,3.0,1.0,5.0,1.0,2.0,4.0,2.0,1.0,2.0,7.0,,4.0,62.0,5.9,2.0,2.2,2.0,1.0,2208.0,0.0,0.0,1.0
33,2.0,1.0,528959.0,38.2,60.0,24.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.4,4.0,4.0,53.0,7.5,2.0,1.4,1.0,2.0,1124.0,0.0,0.0,1.0
34,1.0,1.0,528999.0,37.9,120.0,60.0,3.0,3.0,3.0,1.0,5.0,4.0,4.0,2.0,2.0,7.5,4.0,5.0,52.0,6.6,3.0,1.8,2.0,1.0,3205.0,0.0,0.0,1.0
35,1.0,1.0,530239.0,38.4,84.0,30.0,3.0,1.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0,6.5,4.0,4.0,47.0,7.5,3.0,6.5,2.0,1.0,6111.0,0.0,0.0,2.0
36,2.0,1.0,534429.0,38.4,52.0,20.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,5.0,41.0,63.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0
37,1.0,1.0,529765.0,38.2,76.0,76.0,2.0,3.0,2.0,1.0,5.0,3.0,3.0,1.0,2.0,6.0,1.0,5.0,35.0,6.5,2.0,0.9,1.0,1.0,3205.0,0.0,0.0,1.0
38,2.0,1.0,528919.0,36.0,100.0,20.0,4.0,3.0,6.0,2.0,2.0,4.0,3.0,1.0,1.0,2.5,4.0,5.0,74.0,5.7,2.0,2.5,3.0,1.0,3205.0,0.0,0.0,1.0
39,1.0,1.0,533954.0,38.1,72.0,30.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,5.0,37.0,56.0,3.0,1.0,1.0,1.0,4206.0,0.0,0.0,2.0
40,1.0,1.0,534783.0,38.0,60.0,12.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,44.0,65.0,3.0,2.0,3.0,1.0,2209.0,0.0,0.0,2.0
